Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
L,302.4,311.1,1880,24.5,156,0,8.700000000000045,4823.3919208115285,3822.0,0.013031914893617
M,302.3,311.0,1578,33.5,158,0,8.699999999999989,5535.800414890575,5293.0,0.0212294043092522
L,302.4,311.0,1610,33.1,161,0,8.600000000000023,5580.620470081789,5329.1,0.0205590062111801
L,302.4,311.1,1565,42.8,163,0,8.700000000000045,7014.33863742505,6976.4,0.0273482428115015
L,302.5,311.2,1545,40.1,165,0,8.699999999999989,6487.860068560962,6616.5,0.0259546925566343
L,302.5,311.2,1227,60.1,167,0,8.699999999999989,7722.317485862534,10036.7,0.0489812550937245
L,302.4,311.1,1484,45.9,169,0,8.700000000000045,7133.048951828697,7757.099999999999,0.0309299191374663
L,302.3,311.0,1591,32.7,171,0,8.699999999999989,5448.118563928884,5591.700000000001,0.0205531112507856
L,302.3,310.9,1403,47.2,173,0,8.599999999999966,6934.709735632061,8165.6,0.0336421952957947
M,302.3,311.0,1450,45.7,175,0,8.699999999999989,6939.254573004256,7997.500000000001,0.0315172413793103
L,302.3,310.9,1720,28.1,178,0,8.599999999999966,5061.315204443396,5001.8,0.0163372093023255
L,302.3,311.0,1561,37.2,180,0,8.699999999999989,6080.992403994548,6696.000000000001,0.0238308776425368
M,302.3,311.0,1421,41.3,182,0,8.699999999999989,6145.719684634008,7516.599999999999,0.0290640394088669
H,302.2,310.9,1415,48.4,185,0,8.699999999999989,7171.837149125018,8954.0,0.0342049469964664
L,302.3,310.9,2034,19.7,190,0,8.599999999999966,4196.099643693743,3743.0,0.00968534906588
L,302.4,311.0,1486,40.4,192,0,8.600000000000023,6286.787666755702,7756.799999999999,0.0271870794078061
L,302.4,311.0,1338,67.6,194,1,8.600000000000023,9471.776186867082,13114.4,0.0505231689088191
H,302.4,311.1,1578,32.3,196,0,8.700000000000045,5337.503086595986,6330.799999999999,0.0204689480354879
M,302.4,311.2,1330,58.6,201,0,8.800000000000011,8161.648274516044,11778.6,0.0440601503759398
H,302.4,311.2,1506,40.8,204,0,8.800000000000011,6434.484409376471,8323.199999999999,0.0270916334661354
L,302.5,311.4,1559,37.6,209,0,8.899999999999977,6138.504493506265,7858.400000000001,0.0241180243745991
L,302.6,311.5,1599,37.0,211,0,8.899999999999977,6195.534872144431,7807.0,0.0231394621638524
L,302.6,311.5,1427,38.9,213,0,8.899999999999977,5813.02502261885,8285.699999999999,0.027259985984583
M,302.5,311.5,1481,41.1,215,0,9.0,6374.197246354083,8836.5,0.0277515192437542
H,302.5,311.5,1496,43.8,218,0,9.0,6861.741010264683,9548.4,0.0292780748663101
L,302.5,311.4,1674,27.0,223,0,8.899999999999977,4733.123491898383,6021.0,0.0161290322580645
M,302.5,311.4,1629,31.7,225,0,8.899999999999977,5407.654850550647,7132.5,0.0194597912829957
H,302.6,311.5,1629,34.4,228,1,8.899999999999977,5868.243749493446,7843.2,0.0211172498465316
L,302.6,311.6,1311,53.2,0,0,9.0,7303.700264771695,0.0,0.0405797101449275
M,302.7,311.6,2709,9.7,2,1,8.900000000000034,2751.752421205836,19.4,0.0035806570690291
M,302.7,311.7,1759,29.9,5,0,9.0,5507.641272738898,149.5,0.0169982944855031
L,302.7,311.7,1480,45.2,8,0,9.0,7005.332738484761,361.6,0.0305405405405405
L,302.7,311.8,1461,46.1,10,0,9.100000000000025,7053.095418794836,461.0,0.0315537303216974
M,302.7,311.8,1728,30.0,12,0,9.100000000000025,5428.672105403162,360.0,0.0173611111111111
L,302.7,311.9,1389,46.5,15,0,9.199999999999989,6763.691903546145,697.5,0.0334773218142548
L,302.6,311.8,1638,35.1,17,0,9.199999999999989,6020.736656898695,596.7,0.0214285714285714
L,302.6,311.7,1254,54.1,19,0,9.099999999999966,7104.334794974887,1027.9,0.0431419457735247
L,302.6,311.8,1427,50.1,21,0,9.199999999999989,7486.6980368433,1052.1,0.0351086194814295
L,302.6,311.8,1627,31.8,23,0,9.199999999999989,5418.053522234029,731.4,0.0195451751690227
H,302.6,311.7,1471,48.3,25,0,9.099999999999966,7440.265297423243,1207.5,0.0328348062542488
L,302.6,311.7,1773,27.1,30,0,9.099999999999966,5031.606209915949,813.0,0.0152848279751833
M,302.6,311.7,1430,51.7,32,0,9.099999999999966,7742.036215751567,1654.4,0.0361538461538461
L,302.5,311.6,1595,29.5,35,0,9.100000000000025,4927.326277767792,1032.5,0.0184952978056426
L,302.5,311.5,1521,44.1,37,0,9.0,7024.19276638181,1631.7,0.0289940828402366
L,302.5,311.6,1419,43.7,39,0,9.100000000000025,6493.70343089664,1704.3000000000002,0.0307963354474982
M,302.4,311.4,1534,40.1,41,0,9.0,6441.668184577679,1644.1,0.0261408083441981
H,302.5,311.5,1626,36.0,44,0,9.0,6129.8755856844045,1584.0,0.022140221402214
L,302.5,311.5,1677,29.2,49,0,9.0,5127.958856601547,1430.8,0.017412045319022
L,302.4,311.3,1392,50.5,51,0,8.900000000000034,7361.379905891603,2575.5,0.0362787356321839
L,302.4,311.2,1448,50.5,53,0,8.800000000000011,7657.527373370001,2676.5,0.0348756906077348
L,302.3,311.2,1903,22.9,55,0,8.899999999999977,4563.550792433117,1259.5,0.0120336311087756
L,302.4,311.2,1404,52.0,57,0,8.800000000000011,7645.379881776121,2964.0,0.037037037037037
L,302.3,311.2,1386,53.5,59,0,8.899999999999977,7765.074561877891,3156.5,0.0386002886002886
L,302.2,311.1,1418,47.0,61,0,8.900000000000034,6979.152799704845,2867.0,0.0331452750352609
M,302.3,311.1,1338,53.3,63,0,8.800000000000011,7468.131224260584,3357.9,0.0398355754857997
L,302.3,311.2,1549,40.6,66,0,8.899999999999977,6585.762567622331,2679.6,0.0262104583602324
M,302.3,311.2,1432,42.7,68,0,8.899999999999977,6403.236034448765,2903.6000000000004,0.0298184357541899
M,302.3,311.2,1546,40.0,71,0,8.899999999999977,6475.869656599759,2840.0,0.0258732212160414
M,302.2,311.2,1627,33.2,74,0,9.0,5656.58418044559,2456.8,0.0204056545789797
M,302.2,311.1,1640,32.8,77,0,8.900000000000034,5633.085067396738,2525.6,0.0199999999999999
M,302.1,311.1,1423,36.8,80,0,9.0,5483.796584498151,2944.0,0.0258608573436401
M,302.1,311.0,1711,28.7,83,0,8.899999999999977,5142.336878979477,2382.1,0.0167738164815897
M,302.1,311.1,1450,51.6,86,0,9.0,7835.132078052944,4437.6,0.0355862068965517
H,302.2,311.1,1553,34.1,89,0,8.900000000000034,5545.675487798359,3034.9,0.0219575016097875
L,302.2,311.1,1630,34.6,94,0,8.900000000000034,5905.9847492385725,3252.4,0.0212269938650306
H,302.2,311.1,1476,39.6,96,0,8.900000000000034,6120.827798842066,3801.6,0.0268292682926829
H,302.2,311.1,1426,50.6,101,0,8.900000000000034,7556.116762512122,5110.6,0.0354838709677419
M,302.2,311.2,1561,34.9,106,0,9.0,5705.0170671884325,3699.4,0.022357463164638
L,302.3,311.2,1297,62.5,109,0,8.899999999999977,8488.84514938742,6812.5,0.0481881264456437
M,302.3,311.2,1842,23.9,111,0,8.899999999999977,4610.161555436877,2652.9,0.0129750271444082
L,302.3,311.2,1633,36.4,114,0,8.899999999999977,6224.6679080187205,4149.599999999999,0.0222902633190447
H,302.3,311.3,1744,30.3,116,0,9.0,5533.726963739205,3514.8,0.0173738532110091
L,302.4,311.4,1831,26.9,121,0,9.0,5157.85634668821,3254.9,0.0146914254505734
M,302.3,311.3,1339,50.8,123,0,9.0,7123.163406945401,6248.4,0.0379387602688573
L,302.4,311.4,1475,40.4,126,0,9.0,6240.250207580525,5090.4,0.0273898305084745
M,302.4,311.4,1675,29.6,128,0,9.0,5192.005458832732,3788.8,0.0176716417910447
L,302.5,311.5,1493,35.1,131,0,9.0,5487.765463217187,4598.1,0.0235097119892833
L,302.5,311.5,1700,29.5,133,0,9.0,5251.695719250937,3923.5,0.0173529411764705
L,302.6,311.6,1453,37.0,135,0,9.0,5629.838754988029,4995.0,0.0254645560908465
L,302.6,311.7,1542,34.1,137,0,9.099999999999966,5506.395107652975,4671.7,0.0221141374837872
M,302.5,311.5,1358,52.7,139,0,9.0,7494.436826746644,7325.3,0.0388070692194403
H,302.5,311.5,1655,32.3,142,0,9.0,5597.951589554093,4586.599999999999,0.0195166163141993
L,302.6,311.5,1885,27.5,147,0,8.899999999999977,5428.410306015363,4042.5,0.0145888594164456
L,302.7,311.5,1494,41.4,149,0,8.800000000000011,6477.084405759148,6168.599999999999,0.0277108433734939
M,302.6,311.4,1757,29.5,151,0,8.799999999999955,5427.7819874846455,4454.5,0.016789982925441
M,302.6,311.4,1718,31.2,154,0,8.799999999999955,5613.1464260219545,4804.8,0.0181606519208381
M,302.5,311.4,1636,35.0,157,0,8.899999999999977,5996.253178151719,5495.0,0.0213936430317848
L,302.6,311.6,1638,29.6,160,0,9.0,5077.316383025681,4736.0,0.018070818070818
L,302.6,311.5,1609,36.0,162,0,8.899999999999977,6065.787095551173,5832.0,0.0223741454319453
H,302.7,311.5,1556,35.0,164,0,8.800000000000011,5703.037863816671,5740.0,0.0224935732647814
L,302.6,311.5,1442,59.8,169,1,8.899999999999977,9030.152035576451,10106.2,0.0414701803051317
M,302.7,311.6,1501,38.8,171,0,8.900000000000034,6098.752874462841,6634.799999999999,0.0258494337108594
M,302.6,311.6,2041,19.2,174,0,9.0,4103.673987825131,3340.8,0.0094071533561979
M,302.7,311.7,1784,25.1,177,0,9.0,4689.183082650173,4442.7,0.0140695067264574
L,302.6,311.6,1953,22.4,180,0,9.0,4581.19607117078,4032.0,0.0114695340501792
L,302.6,311.6,1576,34.7,182,0,9.0,5726.8301921798575,6315.400000000001,0.0220177664974619
M,302.6,311.6,1518,39.0,184,0,9.0,6199.618942594098,7176.0,0.025691699604743
M,302.6,311.6,1227,68.2,187,1,9.0,8763.095716070298,12753.4,0.0555827220863895
L,302.5,311.5,1985,18.8,190,0,9.0,3907.931821555464,3572.0,0.0094710327455919
L,302.5,311.5,1802,26.4,192,0,9.0,4981.811966356549,5068.799999999999,0.0146503884572697
L,302.5,311.5,1603,32.4,194,0,9.0,5438.850865600793,6285.599999999999,0.0202121023081721
L,302.5,311.6,1400,54.0,196,0,9.100000000000025,7916.813487046278,10584.0,0.0385714285714285
L,302.3,311.5,1395,54.2,198,0,9.199999999999989,7917.755964842355,10731.6,0.038853046594982
L,302.2,311.4,1987,19.9,200,0,9.199999999999989,4140.755253113002,3980.0,0.0100150981378963
M,302.2,311.4,1398,47.2,202,0,9.199999999999989,6909.995873423822,9534.4,0.0337625178826895
L,302.3,311.4,1333,66.7,205,1,9.099999999999966,9310.748619419584,13673.5,0.0500375093773443
L,302.2,311.2,1381,49.4,207,0,9.0,7144.1283019203565,10225.8,0.0357711803041274
L,302.2,311.3,1570,36.1,0,0,9.100000000000025,5935.2015609169575,0.0,0.0229936305732484
M,302.2,311.3,1658,31.0,2,0,9.100000000000025,5382.385973640273,62.0,0.0186972255729794
H,302.2,311.3,1749,29.2,5,0,9.100000000000025,5348.121669765121,146.0,0.0166952544311034
M,302.2,311.3,1510,37.1,10,0,9.100000000000025,5866.50540155846,371.0,0.024569536423841
L,302.3,311.5,1384,50.8,13,0,9.199999999999989,7362.552767148943,660.4,0.0367052023121387
L,302.3,311.4,1570,37.2,15,0,9.099999999999966,6116.052578008611,558.0,0.0236942675159235
M,302.3,311.4,1571,32.7,17,0,9.099999999999966,5379.631844080625,555.9000000000001,0.0208147676639083
L,302.3,311.4,1476,37.3,20,0,9.099999999999966,5765.325174161844,746.0,0.025271002710027
M,302.3,311.4,1484,39.5,22,0,9.099999999999966,6138.462605604217,869.0,0.0266172506738544
M,302.3,311.4,1909,23.2,25,0,9.099999999999966,4637.912290543588,580.0,0.0121529596647459
L,302.3,311.5,1448,49.6,28,0,9.199999999999989,7521.056588498061,1388.8,0.0342541436464088
M,302.3,311.4,1500,40.2,30,0,9.099999999999966,6314.601233715484,1206.0,0.0268
L,302.2,311.4,1510,44.9,33,0,9.199999999999989,7099.894677357812,1481.7,0.0297350993377483
L,302.2,311.3,1378,55.5,35,0,9.100000000000025,8008.862151796459,1942.5,0.0402757619738751
M,302.2,311.4,1538,37.4,37,0,9.199999999999989,6023.6059781889735,1383.8,0.0243172951885565
L,302.2,311.4,1390,48.1,40,0,9.199999999999989,7001.4581075453325,1924.0,0.0346043165467625
M,302.2,311.4,1642,32.1,42,0,9.199999999999989,5519.589796798051,1348.2,0.0195493300852618
L,302.4,311.5,1785,24.8,45,0,9.100000000000025,4635.734119637099,1116.0,0.0138935574229691
H,302.3,311.5,1526,38.2,47,0,9.199999999999989,6104.449629141352,1795.4,0.0250327653997378
M,302.3,311.6,1668,33.2,52,0,9.300000000000011,5799.128711114472,1726.4,0.0199040767386091
L,302.3,311.5,1507,37.5,55,0,9.199999999999989,5917.9751611997735,2062.5,0.0248838752488387
L,302.3,311.5,1530,37.8,57,0,9.199999999999989,6056.362317590403,2154.6,0.0247058823529411
M,302.3,311.4,1479,45.6,59,0,9.099999999999966,7062.551612682143,2690.4,0.0308316430020283
M,302.3,311.4,1418,41.3,62,0,9.099999999999966,6132.744906974683,2560.6,0.0291255289139633
L,302.3,311.4,1504,38.7,65,0,9.099999999999966,6095.1924027887735,2515.5,0.0257313829787234
M,302.3,311.4,1345,47.6,67,0,9.099999999999966,6704.368162270857,3189.2000000000003,0.0353903345724907
H,302.2,311.4,1625,35.4,70,0,9.199999999999989,6024.003913258429,2478.0,0.0217846153846153
L,302.3,311.4,1511,34.7,75,0,9.099999999999966,5490.634784507465,2602.5,0.0229649238914626
L,302.3,311.4,1535,41.8,77,0,9.099999999999966,6719.1336477427285,3218.6,0.0272312703583061
L,302.4,311.5,1505,37.9,79,0,9.100000000000025,5973.162472147833,2994.1,0.0251827242524916
H,302.4,311.5,1540,43.7,81,0,9.100000000000025,7047.430080042864,3539.7000000000003,0.0283766233766233
H,302.3,311.4,1372,46.0,86,0,9.099999999999966,6609.073185111968,3956.0,0.0335276967930029
M,302.2,311.3,1510,36.6,91,0,9.100000000000025,5787.441986443117,3330.6,0.0242384105960264
L,302.2,311.3,1382,46.4,94,0,9.100000000000025,6715.133353097159,4361.599999999999,0.033574529667149
L,302.3,311.3,1439,41.8,96,0,9.0,6298.914214398558,4012.8,0.0290479499652536
M,302.2,311.3,1375,47.0,98,0,9.100000000000025,6767.514174608013,4606.0,0.0341818181818181
M,302.2,311.3,1931,21.9,101,0,9.100000000000025,4428.483252279781,2211.9,0.0113412739513205
L,302.2,311.3,1475,48.6,104,0,9.100000000000025,7506.835645752811,5054.400000000001,0.0329491525423728
L,302.2,311.3,1389,46.9,106,0,9.100000000000025,6821.874199490628,4971.4,0.0337652987760979
L,302.3,311.3,1652,32.8,108,0,9.0,5674.302763011836,3542.4,0.0198547215496368
L,302.3,311.2,1386,50.3,110,0,8.899999999999977,7300.621503971176,5533.0,0.0362914862914862
M,302.2,311.3,1577,29.8,112,0,9.100000000000025,4921.263003946364,3337.6,0.0188966391883322
M,302.3,311.3,1444,43.1,115,0,9.0,6517.380567529193,4956.5,0.0298476454293628
L,302.2,311.3,1554,40.2,118,0,9.100000000000025,6541.926878129242,4743.6,0.0258687258687258
L,302.2,311.3,1602,32.8,120,0,9.100000000000025,5502.562364615594,3936.0,0.0204744069912609
H,302.2,311.2,1692,28.2,122,0,9.0,4996.640283681494,3440.4,0.0166666666666666
L,302.3,311.3,1682,34.4,127,0,9.0,6059.1688070276105,4368.8,0.0204518430439952
L,302.3,311.3,1614,34.1,129,0,9.0,5763.503050422763,4398.900000000001,0.0211276332094175
L,302.3,311.3,1324,47.8,131,0,9.0,6627.420086208932,6261.799999999999,0.0361027190332326
L,302.3,311.4,1434,40.3,133,0,9.099999999999966,6051.775592316161,5359.9,0.0281032078103207
L,302.3,311.3,1621,31.6,135,0,9.0,5364.122848347405,4266.0,0.019494139420111
M,302.3,311.3,1625,33.1,137,0,9.0,5632.6138284987,4534.7,0.0203692307692307
L,302.2,311.1,1394,53.7,140,0,8.900000000000034,7839.090484796468,7518.0,0.0385222381635581
L,302.1,311.0,1586,35.1,142,0,8.899999999999977,5829.602159854292,4984.2,0.0221311475409836
L,302.0,311.0,1420,45.9,144,0,9.0,6825.424199189185,6609.599999999999,0.0323239436619718
L,302.1,311.2,1422,50.3,146,0,9.099999999999966,7490.248036541856,7343.799999999999,0.0353727144866385
H,302.1,311.2,1598,37.9,148,0,9.099999999999966,6342.268193018098,5609.2,0.0237171464330413
L,302.1,311.2,1454,59.2,153,1,9.099999999999966,9013.941417483931,9057.6,0.0407152682255846
L,302.1,311.2,1519,39.3,155,0,9.099999999999966,6251.423805451793,6091.5,0.02587228439763
L,302.0,311.1,1373,55.7,157,0,9.100000000000025,8008.558464506613,8744.9,0.0405680990531682
M,302.0,311.1,1406,48.8,159,0,9.100000000000025,7185.115614074191,7759.2,0.0347083926031294
L,302.1,311.2,1492,45.0,162,0,9.099999999999966,7030.884358733957,7290.0,0.0301608579088471
L,302.1,311.2,1369,50.8,164,0,9.099999999999966,7282.756313747764,8331.199999999999,0.0371073776479181
M,302.2,311.2,1471,41.9,166,0,9.0,6454.391634824719,6955.4,0.0284840244731475
L,302.2,311.2,1630,36.0,169,0,9.0,6144.955230421635,6084.0,0.0220858895705521
M,302.1,311.1,1605,37.6,171,0,9.0,6319.627781961228,6429.6,0.0234267912772585
L,302.2,311.1,1447,52.1,174,0,8.900000000000034,7894.686202789494,9065.4,0.0360055286800276
M,302.2,311.2,1360,52.8,176,0,9.0,7519.716175632528,9292.8,0.0388235294117647
M,302.2,311.1,1728,34.0,179,0,8.900000000000034,6152.495052790251,6086.0,0.0196759259259259
L,302.1,311.0,1740,30.8,182,0,8.899999999999977,5612.141116372806,5605.6,0.0177011494252873
L,302.1,310.9,1477,41.4,184,0,8.799999999999955,6403.382642105931,7617.599999999999,0.0280297901150981
L,302.1,310.9,1658,30.3,186,0,8.799999999999955,5260.848225848396,5635.8,0.0182750301568154
L,302.0,310.8,1902,23.4,188,0,8.800000000000011,4660.741197159673,4399.2,0.0123028391167192
M,302.0,310.8,1783,23.1,190,0,8.800000000000011,4313.123970039963,4389.0,0.0129556926528323
M,302.0,310.9,1558,45.3,193,0,8.899999999999977,7390.8480449822755,8742.9,0.0290757381258023
L,302.1,311.0,1351,49.5,196,0,8.899999999999977,7003.081263749687,9702.0,0.0366395262768319
H,302.1,310.9,1452,42.5,198,0,8.799999999999955,6462.256088434206,8415.0,0.0292699724517906
L,302.1,310.9,1666,30.7,203,0,8.799999999999955,5356.017539301143,6232.099999999999,0.0184273709483793
L,302.1,311.0,1364,50.0,205,0,8.899999999999977,7141.887299160795,10250.0,0.0366568914956011
M,302.1,311.0,1351,60.3,207,1,8.899999999999977,8531.026266749619,12482.1,0.0446336047372316
H,302.1,311.0,1729,26.1,210,0,8.899999999999977,4725.677917309376,5481.0,0.0150954308849045
M,302.1,311.0,1574,34.1,215,0,8.899999999999977,5620.665304439547,7331.5,0.0216645489199491
L,302.0,311.0,1566,37.8,218,0,9.0,6198.864960357236,8240.4,0.0241379310344827
L,302.0,310.9,1455,43.2,220,0,8.899999999999977,6582.264927801335,9504.0,0.0296907216494845
H,302.0,310.9,1679,29.0,222,0,8.899999999999977,5098.9095965313545,6438.0,0.0172721858248957
L,302.0,310.8,2143,17.3,227,0,8.800000000000011,3882.3697293307546,3927.1,0.0080727951469902
L,302.0,310.8,1447,42.7,229,0,8.800000000000011,6470.309037602906,9778.3,0.0295093296475466
L,302.0,310.8,1383,50.3,231,1,8.800000000000011,7284.81929292362,11619.3,0.0363702096890817
L,302.1,310.8,1772,27.1,233,0,8.699999999999989,5028.768304552205,6314.3,0.0152934537246049
L,302.0,310.8,1615,29.0,235,1,8.800000000000011,4904.549731029266,6815.0,0.0179566563467492
L,302.0,310.8,1454,36.6,0,0,8.800000000000011,5572.808376349863,0.0,0.0251719394773039
L,302.0,310.8,1445,49.1,2,0,8.800000000000011,7429.814265862301,98.2,0.0339792387543252
M,302.0,310.8,1609,35.2,4,0,8.800000000000011,5930.9918267611465,140.8,0.0218769422001243
L,302.0,310.9,1546,34.4,7,0,8.899999999999977,5569.2479046757935,240.8,0.0222509702457956
L,301.9,310.8,1567,39.3,9,0,8.900000000000034,6448.96715150952,353.7,0.0250797702616464
L,302.0,310.8,1767,27.4,11,0,8.800000000000011,5070.090719922423,301.4,0.0155065082059988
L,302.0,310.9,1539,34.2,13,0,8.899999999999977,5511.798647017149,444.6,0.0222222222222222
L,302.0,310.9,1564,39.0,15,0,8.899999999999977,6387.486183278767,585.0,0.0249360613810741
M,302.0,310.8,1445,46.3,17,0,8.800000000000011,7006.118136648157,787.0999999999999,0.0320415224913494
M,301.9,310.9,1419,47.7,20,1,9.0,7088.092760955828,954.0,0.033615221987315
M,301.8,310.9,1881,20.9,23,0,9.099999999999966,4116.837261043673,480.7,0.0111111111111111
M,301.9,310.9,1421,46.2,26,0,9.0,6874.872867556688,1201.2,0.0325123152709359
L,301.9,311.0,1455,46.0,29,0,9.100000000000025,7008.893210158828,1334.0,0.031615120274914
L,301.9,311.0,2691,12.1,31,1,9.100000000000025,3409.7904184267536,375.1,0.004496469713861
L,301.8,310.8,1505,41.2,33,0,9.0,6493.253135949623,1359.6,0.027375415282392
L,301.8,310.8,1456,46.6,35,0,9.0,7105.193496966867,1631.0,0.0320054945054945
L,301.8,310.8,1383,46.4,37,0,9.0,6719.992349734711,1716.8,0.0335502530730296
M,301.9,310.8,1563,39.2,39,0,8.900000000000034,6416.137508279507,1528.8000000000002,0.0250799744081893
M,301.9,310.9,2305,16.1,42,0,9.0,3886.2024723681343,676.2,0.0069848156182212
M,301.9,310.9,1456,43.6,45,0,9.0,6647.777606604194,1962.0,0.0299450549450549
L,302.0,311.0,1865,22.7,48,0,9.0,4433.363192868356,1089.6,0.0121715817694369
L,301.9,310.9,1597,36.9,50,0,9.0,6171.061865372966,1845.0,0.0231058234189104
L,302.0,310.9,1495,38.6,52,0,8.899999999999977,6043.062908690206,2007.2,0.025819397993311
M,302.0,310.9,1456,47.2,54,0,8.899999999999977,7196.676675039403,2548.8,0.0324175824175824
L,301.9,310.8,1465,44.3,57,0,8.900000000000034,6796.25974738836,2525.1,0.0302389078498293
M,302.0,310.9,1352,55.5,59,0,8.899999999999977,7857.751545158791,3274.5,0.0410502958579881
L,301.9,310.8,1906,21.7,62,0,8.900000000000034,4331.230015700153,1345.4,0.0113850996852046
L,302.0,310.9,1446,44.0,64,0,8.899999999999977,6662.689699733234,2816.0,0.0304287690179806
L,302.0,310.8,1948,19.7,66,0,8.800000000000011,4018.683434570015,1300.2,0.0101129363449691
L,301.9,310.7,1480,47.1,68,0,8.800000000000011,7299.804689881244,3202.8,0.0318243243243243
M,301.9,310.7,1511,37.6,70,0,8.800000000000011,5949.506279466302,2632.0,0.0248841826604897
M,301.9,310.7,1472,47.0,73,0,8.800000000000011,7244.931538198541,3431.0,0.0319293478260869
L,301.9,310.7,1429,51.0,76,0,8.800000000000011,7631.871033365684,3876.0,0.0356892932120363
L,301.9,310.7,1405,48.8,78,0,8.800000000000011,7180.005290024353,3806.4,0.0347330960854092
M,301.9,310.7,1405,47.9,80,0,8.800000000000011,7047.587159675543,3832.0,0.0340925266903914
L,302.0,310.7,1348,58.1,83,0,8.699999999999989,8201.52555726561,4822.3,0.0431008902077151
L,301.9,310.6,1331,68.6,85,1,8.700000000000045,9561.604792808726,5830.999999999999,0.0515401953418482
L,301.9,310.6,1610,33.4,87,0,8.700000000000045,5631.200111804585,2905.8,0.0207453416149068
M,301.9,310.6,1412,46.5,89,0,8.700000000000045,6875.689681646621,4138.5,0.0329320113314447
L,302.0,310.7,1453,42.7,92,0,8.699999999999989,6497.138238864563,3928.4,0.0293874741913282
L,302.0,310.6,1583,38.9,94,0,8.600000000000023,6448.506384586993,3656.6,0.0245735944409349
M,302.0,310.6,1539,37.4,96,0,8.600000000000023,6027.522497030449,3590.4,0.024301494476933
L,302.0,310.5,1635,39.8,99,0,8.5,6814.42862490162,3940.2,0.0243425076452599
H,302.1,310.7,1294,62.4,101,1,8.599999999999966,8455.65945899,6302.4,0.0482225656877898
L,302.0,310.5,1978,22.0,106,0,8.5,4556.984863787115,2332.0,0.0111223458038422
L,302.0,310.4,1357,58.0,108,1,8.399999999999977,8242.073046447942,6264.0,0.0427413411938098
L,302.0,310.4,1336,58.2,110,1,8.399999999999977,8142.505503280171,6402.0,0.043562874251497
L,302.0,310.4,1568,39.2,112,0,8.399999999999977,6436.66258028296,4390.400000000001,0.025
M,302.0,310.4,1567,36.4,114,0,8.399999999999977,5973.089168319249,4149.599999999999,0.0232291001914486
L,302.0,310.4,1611,35.6,117,0,8.399999999999977,6005.845507720679,4165.2,0.0220980757293606
H,302.0,310.5,1841,23.6,119,0,8.5,4549.82203253693,2808.4,0.0128191200434546
L,302.0,310.5,1567,36.1,124,0,8.5,5923.860411437498,4476.400000000001,0.0230376515634971
L,301.9,310.4,1376,54.9,126,1,8.5,7910.781629151386,6917.4,0.0398982558139534
L,301.9,310.5,1477,42.4,128,0,8.600000000000023,6558.053720417668,5427.2,0.0287068381855111
M,301.9,310.5,1590,40.3,130,0,8.600000000000023,6710.127748802438,5239.0,0.0253459119496855
L,302.0,310.5,2197,15.8,133,0,8.5,3635.094971566702,2101.4,0.0071916249431042
M,302.0,310.4,1595,32.9,135,0,8.399999999999977,5495.221509781707,4441.5,0.0206269592476489
H,302.0,310.5,1812,24.4,138,0,8.5,4629.953589154494,3367.2,0.0134657836644591
M,302.0,310.5,1573,32.1,143,0,8.5,5287.646011183518,4590.3,0.0204068658614113
L,302.0,310.5,1651,30.9,146,0,8.5,5342.37255520905,4511.4,0.0187159297395517
H,302.0,310.5,1459,43.2,148,0,8.5,6600.360501486012,6393.6,0.02960932145305
L,301.9,310.4,1370,51.7,153,1,8.5,7417.195535370382,7910.1,0.0377372262773722
L,301.9,310.4,1518,34.1,155,0,8.5,5420.6924600630455,5285.5,0.022463768115942
L,302.0,310.3,1648,29.6,157,0,8.300000000000011,5108.313430541099,4647.2,0.0179611650485436
L,302.0,310.4,1464,47.2,159,0,8.399999999999977,7236.218854572586,7504.8,0.0322404371584699
L,302.0,310.4,1895,23.2,161,0,8.399999999999977,4603.899314080722,3735.2,0.0122427440633245
L,301.9,310.4,1884,23.4,163,0,8.5,4616.6332363032725,3814.2,0.012420382165605
L,302.0,310.4,1450,46.6,165,0,8.399999999999977,7075.913853435411,7689.0,0.0321379310344827
L,302.0,310.4,1448,43.4,167,0,8.399999999999977,6580.924514935803,7247.8,0.0299723756906077
L,302.1,310.5,1389,49.6,169,0,8.399999999999977,7214.604697115888,8382.4,0.0357091432685385
L,302.0,310.6,1583,35.2,171,0,8.600000000000023,5835.152306875634,6019.200000000001,0.022236260265319
L,301.9,310.5,1425,51.1,173,0,8.600000000000023,7625.430768425825,8840.300000000001,0.035859649122807
L,302.0,310.5,1809,27.1,175,0,8.5,5133.770803010689,4742.5,0.0149806522940851
L,301.9,310.5,1892,21.8,177,0,8.600000000000023,4319.22913176344,3858.6,0.011522198731501
M,301.9,310.6,1475,47.8,179,0,8.700000000000045,7383.266334711612,8556.199999999999,0.0324067796610169
L,302.0,310.6,1361,46.7,182,0,8.600000000000023,6655.851499723921,8499.4,0.034313005143277
M,302.0,310.6,1563,41.0,184,0,8.600000000000023,6710.756067333157,7544.0,0.0262316058861164
H,301.9,310.5,1472,39.7,187,0,8.600000000000023,6119.654937584725,7423.900000000001,0.0269701086956521
L,302.0,310.6,1325,55.3,192,0,8.600000000000023,7673.078257005271,10617.6,0.0417358490566037
L,302.0,310.6,1358,53.1,194,0,8.600000000000023,7551.320597727643,10301.4,0.039101620029455
